"Market order: O00001, 09:30:00, BUY, 100"
"Add limit order: O08701, 13:41:34, BUY, 900, $ 29.7"
"Market order: O08702, 13:41:35, BUY, 300"
"Market order: O08703, 13:41:37, SELL, 400"
"Add limit order: O08704, 13:41:38, BUY, 500, $ 32.05"
"Market order: O08705, 13:41:40, SELL, 400"
"Add limit order: O08706, 13:41:42, SELL, 400, $ 36.03"
"Add limit order: O08707, 13:41:43, BUY, 900, $ 26.13"
"Add limit order: O08708, 13:41:45, SELL, 400, $ 41.58"
"Cancel: O01977, 10:27:24, BUY, 600, $ 27.02"
"Market order: O08709, 13:41:49, SELL, 800"
"Market order: O08710, 13:41:51, BUY, 200"
"Market order: O08711, 13:41:54, SELL, 200"
"Add limit order: O08712, 13:41:55, SELL, 200, $ 44.92"
"Add limit order: O08713, 13:41:56, BUY, 300, $ 34.12"
"Market order: O08714, 13:41:58, BUY, 500"
"Add limit order: O08715, 13:42:00, BUY, 600, $ 25.32"
"Market order: O08716, 13:42:01, BUY, 100"
"Add limit order: O08717, 13:42:04, BUY, 100, $ 32.05"
"Add limit order: O08718, 13:42:05, BUY, 100, $ 26.04"
"Market order: O08719, 13:42:06, SELL, 600"
"Market order: O08720, 13:42:07, SELL, 800"
"Add limit order: O08721, 13:42:08, BUY, 400, $ 32.4"
"Add limit order: O08722, 13:42:09, BUY, 100, $ 30.08"
"Add limit order: O08723, 13:42:10, BUY, 500, $ 33.84"
"Market order: O08724, 13:42:11, SELL, 300"
"Add limit order: O08725, 13:42:13, SELL, 200, $ 40.12"
"Market order: O08726, 13:42:14, BUY, 300"
"Market order: O08727, 13:42:17, BUY, 500"
"Add limit order: O08728, 13:42:18, SELL, 800, $ 40.78"
"Add limit order: O08729, 13:42:19, SELL, 500, $ 38.48"
"Market order: O08730, 13:42:20, SELL, 200"
"Add limit order: O08731, 13:42:21, BUY, 200, $ 25.5"
"Market order: O08732, 13:42:22, SELL, 200"
"Market order: O08733, 13:42:23, BUY, 100"
"Add limit order: O08734, 13:42:24, SELL, 100, $ 43.28"
"Market order: O08735, 13:42:26, SELL, 600"
"Add limit order: O08736, 13:42:27, BUY, 100, $ 25.45"
"Market order: O08737, 13:42:28, SELL, 700"
"Market order: O08738, 13:42:30, SELL, 600"
"Market order: O08739, 13:42:31, BUY, 600"
"Market order: O08740, 13:42:32, SELL, 600"
"Add limit order: O08741, 13:42:33, SELL, 100, $ 39.08"
"Market order: O08742, 13:42:35, SELL, 400"
"Add limit order: O08743, 13:42:36, SELL, 200, $ 40.0"
"Market order: O08744, 13:42:37, SELL, 400"
"Market order: O08745, 13:42:38, SELL, 300"
"Market order: O08746, 13:42:44, BUY, 300"
"Add limit order: O08747, 13:42:46, BUY, 500, $ 25.3"
"Market order: O08748, 13:42:47, SELL, 300"
"Market order: O08749, 13:42:48, SELL, 400"
"Add limit order: O08750, 13:42:50, SELL, 800, $ 38.66"
"Add limit order: O08751, 13:42:51, SELL, 500, $ 41.35"
"Market order: O08752, 13:42:52, BUY, 300"
"Market order: O08753, 13:42:55, BUY, 500"
"Add limit order: O08754, 13:42:57, SELL, 700, $ 42.59"
"Market order: O08755, 13:42:59, BUY, 500"
"Add limit order: O08756, 13:43:01, SELL, 500, $ 40.58"
"Cancel: O00106, 09:33:22, BUY, 200, $ 27.11"
"Add limit order: O08757, 13:43:05, SELL, 100, $ 35.14"
"Add limit order: O08758, 13:43:07, SELL, 700, $ 43.19"
"Market order: O08759, 13:43:08, SELL, 200"
"Add limit order: O08760, 13:43:09, BUY, 200, $ 33.5"
"Add limit order: O08761, 13:43:10, BUY, 300, $ 33.04"
"Add limit order: O08762, 13:43:11, SELL, 600, $ 38.68"
"Add limit order: O08763, 13:43:12, SELL, 200, $ 44.86"
"Market order: O08764, 13:43:13, SELL, 100"
"Add limit order: O08765, 13:43:16, SELL, 800, $ 39.81"
"Market order: O08766, 13:43:17, BUY, 500"
"Add limit order: O08767, 13:43:18, BUY, 400, $ 30.27"
"Add limit order: O08768, 13:43:21, SELL, 100, $ 43.26"
"Add limit order: O08769, 13:43:22, SELL, 200, $ 37.51"
"Market order: O08770, 13:43:26, BUY, 700"
"Market order: O08771, 13:43:27, BUY, 300"
"Market order: O08772, 13:43:28, SELL, 500"
"Market order: O08773, 13:43:29, BUY, 400"
"Add limit order: O08774, 13:43:31, BUY, 200, $ 29.73"
"Add limit order: O08775, 13:43:32, SELL, 400, $ 36.39"
"Add limit order: O08776, 13:43:33, SELL, 500, $ 37.0"
"Add limit order: O08777, 13:43:35, SELL, 600, $ 35.8"
"Add limit order: O08778, 13:43:36, SELL, 500, $ 40.29"
"Add limit order: O08779, 13:43:41, SELL, 100, $ 40.68"
"Add limit order: O08780, 13:43:43, BUY, 200, $ 28.92"
"Add limit order: O08781, 13:43:46, SELL, 300, $ 41.35"
"Add limit order: O08782, 13:43:47, SELL, 200, $ 35.81"
"Market order: O08783, 13:43:48, SELL, 500"
"Add limit order: O08784, 13:43:51, BUY, 100, $ 27.45"
"Cancel: O01003, 09:58:54, BUY, 100, $ 26.8"
"Add limit order: O08785, 13:43:53, SELL, 600, $ 38.44"
"Market order: O08786, 13:43:54, SELL, 400"
"Add limit order: O08787, 13:43:57, BUY, 500, $ 27.01"
"Market order: O08788, 13:44:00, SELL, 600"
"Add limit order: O08789, 13:44:01, BUY, 800, $ 25.41"
"Market order: O08790, 13:44:02, BUY, 100"
"Add limit order: O08791, 13:44:04, SELL, 200, $ 42.42"
"Market order: O08792, 13:44:05, BUY, 400"
"Add limit order: O08793, 13:44:06, SELL, 400, $ 37.08"
"Add limit order: O08794, 13:44:09, SELL, 100, $ 36.39"
"Add limit order: O08795, 13:44:10, BUY, 100, $ 29.03"
"Add limit order: O08796, 13:44:11, SELL, 500, $ 42.38"
"Add limit order: O08797, 13:44:12, BUY, 500, $ 27.48"
"Add limit order: O08798, 13:44:13, SELL, 600, $ 39.53"
"Add limit order: O08799, 13:44:14, BUY, 800, $ 29.88"
"Add limit order: O08800, 13:44:15, BUY, 700, $ 29.78"
"Add limit order: O08801, 13:44:16, SELL, 600, $ 37.82"
"Add limit order: O08802, 13:44:17, SELL, 400, $ 42.19"
"Market order: O08803, 13:44:19, BUY, 100"
"Add limit order: O08804, 13:44:20, BUY, 200, $ 34.58"
"Market order: O08805, 13:44:21, SELL, 200"
"Market order: O08806, 13:44:24, SELL, 500"
"Market order: O08807, 13:44:27, SELL, 200"
"Add limit order: O08808, 13:44:28, SELL, 400, $ 42.14"
"Market order: O08809, 13:44:31, SELL, 100"
"Market order: O08810, 13:44:32, BUY, 400"
"Add limit order: O08811, 13:44:35, BUY, 300, $ 25.62"
"Add limit order: O08812, 13:44:36, SELL, 300, $ 44.28"
"Add limit order: O08813, 13:44:37, BUY, 300, $ 29.07"
"Add limit order: O08814, 13:44:38, BUY, 200, $ 27.47"
"Add limit order: O08815, 13:44:39, BUY, 100, $ 30.59"
"Add limit order: O08816, 13:44:41, SELL, 500, $ 39.06"
"Add limit order: O08817, 13:44:43, BUY, 500, $ 28.3"
"Market order: O08818, 13:44:48, BUY, 300"
"Cancel: O00320, 09:39:22, BUY, 300, $ 26.8"
"Add limit order: O08819, 13:44:52, SELL, 400, $ 43.79"
"Market order: O08820, 13:44:53, SELL, 700"
"Add limit order: O08821, 13:44:54, BUY, 100, $ 30.95"
"Add limit order: O08822, 13:44:55, BUY, 300, $ 25.05"
"Add limit order: O08823, 13:44:56, SELL, 500, $ 42.32"
"Add limit order: O08824, 13:44:58, SELL, 200, $ 42.51"
"Add limit order: O08825, 13:44:59, SELL, 300, $ 37.59"
"Market order: O08826, 13:45:03, SELL, 400"
"Add limit order: O08827, 13:45:04, BUY, 700, $ 30.08"
"Add limit order: O08828, 13:45:06, SELL, 300, $ 35.22"
"Market order: O08829, 13:45:09, BUY, 200"
"Add limit order: O08830, 13:45:13, BUY, 900, $ 31.72"
"Add limit order: O08831, 13:45:15, SELL, 200, $ 41.35"
"Market order: O08832, 13:45:16, SELL, 200"
"Market order: O08833, 13:45:18, BUY, 400"
"Add limit order: O08834, 13:45:19, BUY, 400, $ 28.85"
"Market order: O08835, 13:45:20, SELL, 400"
"Add limit order: O08836, 13:45:21, SELL, 200, $ 40.55"
"Add limit order: O08837, 13:45:23, SELL, 100, $ 37.58"
"Add limit order: O08838, 13:45:28, BUY, 500, $ 33.41"
"Add limit order: O08839, 13:45:30, SELL, 200, $ 40.88"
"Add limit order: O08840, 13:45:31, BUY, 600, $ 31.98"
"Add limit order: O08841, 13:45:33, SELL, 300, $ 35.71"
"Add limit order: O08842, 13:45:35, SELL, 200, $ 38.23"
"Add limit order: O08843, 13:45:36, SELL, 100, $ 41.79"
"Add limit order: O08844, 13:45:37, SELL, 500, $ 35.88"
"Cancel: O00112, 09:33:28, SELL, 100, $ 44.18"
"Add limit order: O08845, 13:45:41, SELL, 700, $ 40.69"
"Market order: O08846, 13:45:42, SELL, 500"
"Market order: O08847, 13:45:43, BUY, 600"
"Add limit order: O08848, 13:45:45, SELL, 700, $ 44.64"
"Market order: O08849, 13:45:48, SELL, 800"
"Market order: O08850, 13:45:49, SELL, 500"
"Add limit order: O08851, 13:45:51, BUY, 200, $ 26.35"
"Add limit order: O08852, 13:45:52, SELL, 600, $ 39.6"
"Add limit order: O08853, 13:45:54, SELL, 300, $ 42.53"
"Market order: O08854, 13:45:57, BUY, 500"
"Market order: O08855, 13:45:59, BUY, 100"
"Add limit order: O08856, 13:46:00, BUY, 500, $ 33.64"
"Market order: O08857, 13:46:04, BUY, 100"
"Add limit order: O08858, 13:46:05, SELL, 500, $ 40.42"
"Market order: O08859, 13:46:06, BUY, 300"
"Add limit order: O08860, 13:46:08, BUY, 700, $ 31.95"
"Add limit order: O08861, 13:46:10, SELL, 700, $ 41.7"
"Add limit order: O08862, 13:46:13, BUY, 500, $ 31.62"
"Market order: O08863, 13:46:14, BUY, 200"
"Market order: O08864, 13:46:16, BUY, 500"
"Add limit order: O08865, 13:46:17, BUY, 400, $ 26.25"
"Add limit order: O08866, 13:46:19, SELL, 900, $ 39.82"
"Market order: O08867, 13:46:22, BUY, 300"
"Add limit order: O08868, 13:46:25, BUY, 100, $ 29.25"
"Add limit order: O08869, 13:46:27, SELL, 900, $ 40.34"
"Market order: O08870, 13:46:29, BUY, 300"
"Market order: O08871, 13:46:31, SELL, 600"
"Market order: O08872, 13:46:32, BUY, 600"
"Add limit order: O08873, 13:46:33, SELL, 300, $ 37.73"
"Market order: O08874, 13:46:34, BUY, 600"
"Market order: O08875, 13:46:36, SELL, 400"
"Market order: O08876, 13:46:37, BUY, 200"
"Market order: O08877, 13:46:39, SELL, 300"
"Add limit order: O08878, 13:46:41, BUY, 500, $ 34.1"
"Market order: O08879, 13:46:42, SELL, 500"
"Add limit order: O08880, 13:46:44, SELL, 700, $ 36.1"
"Market order: O08881, 13:46:45, BUY, 100"
"Market order: O08882, 13:46:46, SELL, 500"
"Market order: O08883, 13:46:47, BUY, 900"
"Add limit order: O08884, 13:46:49, SELL, 200, $ 41.37"
"Market order: O08885, 13:46:52, SELL, 300"
"Add limit order: O08886, 13:46:53, SELL, 400, $ 41.59"
"Market order: O08887, 13:46:54, SELL, 800"
"Market order: O08888, 13:46:55, BUY, 900"
"Add limit order: O08889, 13:46:56, SELL, 200, $ 44.57"
"Add limit order: O08890, 13:46:57, SELL, 700, $ 44.06"
"Add limit order: O08891, 13:46:58, SELL, 500, $ 35.86"
"Market order: O08892, 13:47:00, SELL, 300"
"Market order: O08893, 13:47:05, SELL, 400"
"Add limit order: O08894, 13:47:07, SELL, 200, $ 44.8"
"Add limit order: O08895, 13:47:08, BUY, 100, $ 26.07"
"Market order: O08896, 13:47:10, SELL, 300"
"Market order: O08897, 13:47:12, BUY, 400"
"Market order: O08898, 13:47:13, BUY, 500"
"Market order: O08899, 13:47:14, BUY, 200"
"Market order: O08900, 13:47:15, BUY, 200"
"Market order: O08901, 13:47:16, SELL, 500"
"Market order: O08902, 13:47:19, BUY, 300"
"Add limit order: O08903, 13:47:20, SELL, 300, $ 44.96"
"Add limit order: O08904, 13:47:22, SELL, 700, $ 41.72"
"Market order: O08905, 13:47:24, BUY, 300"
"Add limit order: O08906, 13:47:25, SELL, 400, $ 37.45"
"Market order: O08907, 13:47:26, SELL, 100"
"Market order: O08908, 13:47:28, BUY, 100"
"Add limit order: O08909, 13:47:29, SELL, 200, $ 36.83"
"Market order: O08910, 13:47:30, SELL, 700"
"Cancel: O06062, 12:25:41, BUY, 300, $ 27.34"
"Add limit order: O08911, 13:47:32, SELL, 200, $ 36.83"
"Market order: O08912, 13:47:35, BUY, 200"
"Market order: O08913, 13:47:37, BUY, 200"
"Add limit order: O08914, 13:47:39, BUY, 300, $ 30.31"
"Market order: O08915, 13:47:40, BUY, 200"
"Market order: O08916, 13:47:43, SELL, 400"
"Add limit order: O08917, 13:47:44, BUY, 400, $ 26.3"
"Add limit order: O08918, 13:47:45, BUY, 300, $ 29.3"
"Cancel: O05520, 12:09:27, BUY, 600, $ 25.82"
"Market order: O08919, 13:47:50, SELL, 400"
"Add limit order: O08920, 13:47:51, SELL, 100, $ 36.44"
"Market order: O08921, 13:47:53, SELL, 900"
"Market order: O08922, 13:47:54, SELL, 100"
"Add limit order: O08923, 13:47:57, SELL, 200, $ 42.24"
"Add limit order: O08924, 13:47:59, SELL, 900, $ 38.56"
"Cancel: O03470, 11:10:23, BUY, 300, $ 26.57"
"Market order: O08925, 13:48:03, SELL, 400"
"Market order: O08926, 13:48:04, BUY, 300"
"Add limit order: O08927, 13:48:05, BUY, 200, $ 31.4"
"Cancel: O06995, 12:51:51, SELL, 300, $ 44.93"
"Market order: O08928, 13:48:09, SELL, 700"
"Market order: O08929, 13:48:10, SELL, 300"
"Market order: O08930, 13:48:11, BUY, 400"
"Market order: O08931, 13:48:13, BUY, 200"
"Add limit order: O08932, 13:48:15, BUY, 200, $ 27.27"
"Add limit order: O08933, 13:48:16, SELL, 500, $ 41.96"
"Market order: O08934, 13:48:18, BUY, 400"
"Add limit order: O08935, 13:48:20, BUY, 900, $ 29.9"
"Add limit order: O08936, 13:48:21, BUY, 900, $ 31.74"
"Market order: O08937, 13:48:22, BUY, 100"
"Market order: O08938, 13:48:23, SELL, 700"
"Add limit order: O08939, 13:48:25, SELL, 300, $ 43.09"
"Add limit order: O08940, 13:48:26, SELL, 800, $ 40.89"
"Market order: O08941, 13:48:29, SELL, 100"
"Add limit order: O08942, 13:48:32, BUY, 600, $ 25.81"
"Add limit order: O08943, 13:48:33, SELL, 200, $ 35.51"
"Add limit order: O08944, 13:48:34, BUY, 600, $ 33.41"
"Market order: O08945, 13:48:35, BUY, 500"
"Cancel: O00951, 09:57:33, SELL, 300, $ 44.93"
"Market order: O08946, 13:48:40, BUY, 400"
"Market order: O08947, 13:48:41, BUY, 200"
"Add limit order: O08948, 13:48:42, SELL, 400, $ 39.48"
"Market order: O08949, 13:48:43, SELL, 400"
"Add limit order: O08950, 13:48:44, SELL, 300, $ 37.56"
"Market order: O08951, 13:48:45, SELL, 200"
"Add limit order: O08952, 13:48:47, BUY, 900, $ 34.4"
"Cancel: O06469, 12:37:23, BUY, 100, $ 27.3"
"Add limit order: O08953, 13:48:49, BUY, 100, $ 30.51"
"Add limit order: O08954, 13:48:50, SELL, 700, $ 37.49"
"Add limit order: O08955, 13:48:52, BUY, 100, $ 27.58"
"Market order: O08956, 13:48:53, BUY, 300"
"Market order: O08957, 13:48:55, SELL, 500"
"Add limit order: O08958, 13:48:56, BUY, 100, $ 27.58"
"Cancel: O07057, 12:53:29, SELL, 900, $ 43.94"
"Add limit order: O08959, 13:48:59, BUY, 500, $ 31.8"
"Cancel: O00109, 09:33:25, SELL, 400, $ 43.55"
"Market order: O08960, 13:49:02, SELL, 500"
"Add limit order: O08961, 13:49:03, BUY, 500, $ 27.31"
"Market order: O08962, 13:49:05, BUY, 500"
"Add limit order: O08963, 13:49:07, SELL, 900, $ 43.49"
"Add limit order: O08964, 13:49:09, SELL, 200, $ 42.36"
"Add limit order: O08965, 13:49:11, BUY, 700, $ 26.46"
"Add limit order: O08966, 13:49:14, BUY, 400, $ 32.06"
"Add limit order: O08967, 13:49:15, BUY, 400, $ 26.79"
"Add limit order: O08968, 13:49:18, BUY, 300, $ 32.53"
"Market order: O08969, 13:49:19, SELL, 600"
"Add limit order: O08970, 13:49:21, BUY, 600, $ 33.6"
"Add limit order: O08971, 13:49:22, SELL, 300, $ 37.97"
"Market order: O08972, 13:49:24, SELL, 800"
"Cancel: O00092, 09:32:57, SELL, 300, $ 43.38"
"Add limit order: O08973, 13:49:27, SELL, 200, $ 36.48"
"Add limit order: O08974, 13:49:29, BUY, 200, $ 25.08"
"Add limit order: O08975, 13:49:30, SELL, 400, $ 41.34"
"Market order: O08976, 13:49:31, SELL, 300"
"Add limit order: O08977, 13:49:32, SELL, 100, $ 44.06"
"Add limit order: O08978, 13:49:33, BUY, 100, $ 34.72"
"Market order: O08979, 13:49:34, SELL, 100"
"Market order: O08980, 13:49:36, SELL, 100"
"Market order: O08981, 13:49:38, BUY, 400"
"Add limit order: O08982, 13:49:39, BUY, 200, $ 28.38"
"Market order: O08983, 13:49:40, SELL, 300"
"Add limit order: O08984, 13:49:41, SELL, 700, $ 38.64"
"Market order: O08985, 13:49:42, BUY, 800"
"Add limit order: O08986, 13:49:43, SELL, 600, $ 36.74"
"Market order: O08987, 13:49:44, SELL, 600"
"Market order: O08988, 13:49:45, SELL, 200"
"Market order: O08989, 13:49:46, BUY, 400"
"Cancel: O04833, 11:49:28, SELL, 500, $ 44.56"
"Add limit order: O08990, 13:49:52, BUY, 600, $ 29.34"
"Market order: O08991, 13:49:53, SELL, 300"
"Market order: O08992, 13:49:55, BUY, 400"
"Market order: O08993, 13:49:56, SELL, 300"
"Market order: O08994, 13:49:57, BUY, 500"
"Add limit order: O08995, 13:49:58, BUY, 100, $ 29.96"
"Market order: O08996, 13:50:01, SELL, 400"
"Market order: O08997, 13:50:02, BUY, 300"
"Market order: O08998, 13:50:03, SELL, 800"
"Market order: O08999, 13:50:04, SELL, 500"
"Add limit order: O09000, 13:50:05, BUY, 800, $ 28.25"
"Add limit order: O09001, 13:50:06, SELL, 500, $ 38.72"
"Add limit order: O09002, 13:50:07, SELL, 300, $ 42.26"
"Add limit order: O09003, 13:50:11, SELL, 200, $ 36.75"
"Add limit order: O09004, 13:50:13, SELL, 100, $ 44.21"
"Market order: O09005, 13:50:15, SELL, 100"
"Add limit order: O09006, 13:50:18, BUY, 800, $ 30.67"
"Add limit order: O09007, 13:50:21, BUY, 800, $ 33.89"
"Cancel: O00956, 09:57:39, BUY, 600, $ 26.28"
"Market order: O09008, 13:50:24, BUY, 500"
"Add limit order: O09009, 13:50:25, SELL, 300, $ 35.96"
"Add limit order: O09010, 13:50:26, BUY, 100, $ 32.35"
"Add limit order: O09011, 13:50:29, SELL, 900, $ 44.38"
"Market order: O09012, 13:50:30, SELL, 600"
"Market order: O09013, 13:50:31, BUY, 500"
"Add limit order: O09014, 13:50:33, SELL, 500, $ 35.7"
"Market order: O09015, 13:50:38, BUY, 500"
"Market order: O09016, 13:50:40, SELL, 500"
"Market order: O09017, 13:50:41, BUY, 300"
"Market order: O09018, 13:50:43, BUY, 600"
"Add limit order: O09019, 13:50:44, BUY, 600, $ 29.06"
"Add limit order: O09020, 13:50:46, BUY, 900, $ 34.1"
"Add limit order: O09021, 13:50:48, BUY, 500, $ 31.43"
"Add limit order: O09022, 13:50:49, BUY, 100, $ 33.75"
"Cancel: O02064, 10:30:01, BUY, 200, $ 25.7"
"Add limit order: O09023, 13:50:52, BUY, 100, $ 34.33"
"Add limit order: O09024, 13:50:53, SELL, 700, $ 41.36"
"Add limit order: O09025, 13:50:54, BUY, 600, $ 25.51"
"Add limit order: O09026, 13:50:59, BUY, 400, $ 26.05"
"Add limit order: O09027, 13:51:00, BUY, 600, $ 28.32"
"Market order: O09028, 13:51:04, SELL, 900"
"Market order: O09029, 13:51:05, BUY, 700"
"Add limit order: O09030, 13:51:06, BUY, 400, $ 25.68"
"Add limit order: O09031, 13:51:07, SELL, 300, $ 36.57"
"Market order: O09032, 13:51:11, SELL, 500"
"Market order: O09033, 13:51:13, BUY, 300"
"Add limit order: O09034, 13:51:14, SELL, 100, $ 38.76"
"Add limit order: O09035, 13:51:15, SELL, 300, $ 39.7"
"Market order: O09036, 13:51:16, BUY, 500"
"Market order: O09037, 13:51:19, BUY, 300"
"Add limit order: O09038, 13:51:20, BUY, 200, $ 27.57"
"Add limit order: O09039, 13:51:21, SELL, 400, $ 39.26"
"Market order: O09040, 13:51:22, BUY, 700"
"Market order: O09041, 13:51:23, BUY, 300"
"Market order: O09042, 13:51:24, BUY, 300"
"Cancel: O08233, 13:27:34, BUY, 500, $ 26.47"
"Add limit order: O09043, 13:51:26, SELL, 200, $ 38.73"
"Add limit order: O09044, 13:51:29, BUY, 800, $ 30.38"
"Add limit order: O09045, 13:51:32, SELL, 500, $ 36.91"
"Add limit order: O09046, 13:51:33, BUY, 100, $ 25.48"
"Market order: O09047, 13:51:34, SELL, 400"
"Add limit order: O09048, 13:51:36, SELL, 200, $ 38.52"
"Market order: O09049, 13:51:38, SELL, 500"
"Market order: O09050, 13:51:41, SELL, 900"
"Market order: O09051, 13:51:42, BUY, 100"
"Add limit order: O09052, 13:51:43, BUY, 200, $ 34.05"
"Add limit order: O09053, 13:51:44, BUY, 800, $ 34.21"
"Add limit order: O09054, 13:51:46, SELL, 200, $ 36.83"
"Add limit order: O09055, 13:51:47, BUY, 300, $ 32.27"
"Add limit order: O09056, 13:51:48, BUY, 600, $ 32.36"
"Add limit order: O09057, 13:51:49, BUY, 100, $ 33.27"
"Market order: O09058, 13:51:51, BUY, 800"
"Add limit order: O09059, 13:51:52, BUY, 300, $ 30.37"
"Market order: O09060, 13:51:53, BUY, 900"
"Add limit order: O09061, 13:51:54, SELL, 300, $ 43.85"
"Add limit order: O09062, 13:51:55, BUY, 700, $ 31.22"
"Market order: O09063, 13:51:57, BUY, 500"
"Market order: O09064, 13:51:58, SELL, 700"
"Market order: O09065, 13:51:59, SELL, 200"
"Market order: O09066, 13:52:02, BUY, 600"
"Add limit order: O09067, 13:52:03, BUY, 400, $ 31.56"
"Add limit order: O09068, 13:52:04, BUY, 200, $ 34.65"
"Add limit order: O09069, 13:52:05, SELL, 300, $ 44.21"
"Add limit order: O09070, 13:52:08, BUY, 600, $ 31.86"
"Add limit order: O09071, 13:52:09, BUY, 300, $ 33.2"
"Add limit order: O09072, 13:52:13, SELL, 100, $ 44.32"
"Cancel: O00607, 09:47:36, BUY, 300, $ 26.92"
"Add limit order: O09073, 13:52:16, SELL, 700, $ 43.25"
"Market order: O09074, 13:52:18, SELL, 400"
"Add limit order: O09075, 13:52:20, BUY, 700, $ 25.87"
"Market order: O09076, 13:52:23, BUY, 100"
"Market order: O09077, 13:52:28, BUY, 100"
"Cancel: O00028, 09:30:51, BUY, 200, $ 27.73"
"Add limit order: O09078, 13:52:30, SELL, 100, $ 37.25"
"Market order: O09079, 13:52:31, SELL, 100"
"Add limit order: O09080, 13:52:32, BUY, 300, $ 28.63"
"Add limit order: O09081, 13:52:33, BUY, 600, $ 30.62"
"Market order: O09082, 13:52:35, SELL, 800"
"Add limit order: O09083, 13:52:37, SELL, 200, $ 40.08"
"Add limit order: O09084, 13:52:39, SELL, 200, $ 40.87"
"Add limit order: O09085, 13:52:40, SELL, 700, $ 36.98"
"Market order: O09086, 13:52:41, SELL, 200"
"Add limit order: O09087, 13:52:42, SELL, 300, $ 43.65"
"Cancel: O07724, 13:12:14, BUY, 100, $ 25.82"
"Add limit order: O09088, 13:52:47, BUY, 100, $ 29.35"
"Market order: O09089, 13:52:48, SELL, 400"
"Add limit order: O09090, 13:52:49, SELL, 500, $ 38.51"
"Market order: O09091, 13:52:50, SELL, 300"
"Add limit order: O09092, 13:52:53, SELL, 200, $ 41.16"
"Add limit order: O09093, 13:52:55, BUY, 400, $ 31.8"
"Market order: O09094, 13:52:57, BUY, 100"
"Add limit order: O09095, 13:52:58, SELL, 100, $ 42.07"
"Market order: O09096, 13:52:59, BUY, 100"
"Market order: O09097, 13:53:01, SELL, 500"
"Add limit order: O09098, 13:53:02, BUY, 500, $ 26.68"
"Cancel: O00555, 09:46:11, SELL, 200, $ 44.69"
"Cancel: O00742, 09:51:37, SELL, 300, $ 43.07"
"Add limit order: O09099, 13:53:07, SELL, 400, $ 35.46"
"Add limit order: O09100, 13:53:09, BUY, 300, $ 25.95"
"Add limit order: O09101, 13:53:12, SELL, 300, $ 35.91"
"Add limit order: O09102, 13:53:13, BUY, 700, $ 33.88"
"Market order: O09103, 13:53:16, SELL, 200"
"Market order: O09104, 13:53:17, SELL, 200"
"Market order: O09105, 13:53:19, SELL, 200"
"Market order: O09106, 13:53:21, BUY, 500"
"Add limit order: O09107, 13:53:23, SELL, 600, $ 39.86"
"Add limit order: O09108, 13:53:24, SELL, 400, $ 43.36"
"Add limit order: O09109, 13:53:27, BUY, 500, $ 29.38"
"Add limit order: O09110, 13:53:28, BUY, 100, $ 27.36"
"Add limit order: O09111, 13:53:29, BUY, 900, $ 25.61"
"Market order: O09112, 13:53:30, SELL, 400"
"Market order: O09113, 13:53:31, SELL, 100"
"Add limit order: O09114, 13:53:32, BUY, 600, $ 29.53"
"Market order: O09115, 13:53:34, BUY, 300"
"Add limit order: O09116, 13:53:35, BUY, 900, $ 32.39"
"Add limit order: O09117, 13:53:36, BUY, 100, $ 34.85"
"Market order: O09118, 13:53:38, SELL, 600"
"Market order: O09119, 13:53:39, BUY, 500"
"Add limit order: O09120, 13:53:40, BUY, 300, $ 33.2"
"Market order: O09121, 13:53:41, BUY, 500"
"Market order: O09122, 13:53:42, SELL, 100"
"Add limit order: O09123, 13:53:43, SELL, 100, $ 44.86"
"Market order: O09124, 13:53:44, BUY, 600"
"Market order: O09125, 13:53:45, BUY, 300"
"Add limit order: O09126, 13:53:48, SELL, 100, $ 40.95"
"Cancel: O08977, 13:49:32, SELL, 100, $ 44.06"
"Add limit order: O09127, 13:53:52, SELL, 900, $ 42.17"
"Add limit order: O09128, 13:53:53, SELL, 100, $ 40.98"
"Cancel: O07871, 13:17:13, BUY, 300, $ 27.58"
"Market order: O09129, 13:53:56, BUY, 300"
"Add limit order: O09130, 13:53:58, SELL, 700, $ 42.69"
"Add limit order: O09131, 13:54:03, SELL, 200, $ 35.11"
"Add limit order: O09132, 13:54:04, SELL, 300, $ 36.81"
"Add limit order: O09133, 13:54:05, SELL, 400, $ 44.58"
"Cancel: O00320, 09:39:22, BUY, 300, $ 26.8"
"Market order: O09134, 13:54:07, SELL, 300"
"Add limit order: O09135, 13:54:12, BUY, 100, $ 26.43"
"Market order: O09136, 13:54:14, SELL, 200"
"Cancel: O02778, 10:50:11, SELL, 600, $ 44.82"
"Cancel: O00216, 09:36:26, SELL, 400, $ 43.66"
"Add limit order: O09137, 13:54:20, BUY, 100, $ 26.72"
"Cancel: O06993, 12:51:48, SELL, 200, $ 44.57"
"Market order: O09138, 13:54:23, BUY, 200"
"Add limit order: O09139, 13:54:24, SELL, 800, $ 36.93"
"Market order: O09140, 13:54:25, BUY, 200"
"Add limit order: O09141, 13:54:27, SELL, 400, $ 44.46"
"Add limit order: O09142, 13:54:28, SELL, 100, $ 39.48"
"Market order: O09143, 13:54:30, SELL, 600"
"Market order: O09144, 13:54:32, SELL, 100"
"Add limit order: O09145, 13:54:33, SELL, 500, $ 42.45"
"Cancel: O00009, 09:30:14, BUY, 300, $ 25.72"
"Cancel: O06067, 12:25:49, BUY, 500, $ 25.14"
"Add limit order: O09146, 13:54:36, SELL, 400, $ 37.95"
