"Market order: O00001, 09:30:01, BUY, 900"
"Market order: O00002, 09:30:05, SELL, 700"
"Add limit order: O06072, 12:24:33, SELL, 300, $ 44.69"
"Market order: O06073, 12:24:34, SELL, 500"
"Cancel: O00154, 09:34:36, SELL, 500, $ 43.04"
"Add limit order: O06074, 12:24:37, SELL, 300, $ 36.96"
"Add limit order: O06075, 12:24:39, BUY, 200, $ 26.9"
"Market order: O06076, 12:24:41, BUY, 200"
"Market order: O06077, 12:24:42, SELL, 300"
"Add limit order: O06078, 12:24:43, BUY, 700, $ 33.09"
"Market order: O06079, 12:24:44, SELL, 400"
"Market order: O06080, 12:24:45, BUY, 200"
"Market order: O06081, 12:24:46, BUY, 200"
"Add limit order: O06082, 12:24:48, SELL, 700, $ 44.1"
"Add limit order: O06083, 12:24:49, BUY, 700, $ 26.38"
"Market order: O06084, 12:24:50, SELL, 200"
"Market order: O06085, 12:24:51, SELL, 300"
"Market order: O06086, 12:24:53, SELL, 300"
"Add limit order: O06087, 12:24:56, BUY, 900, $ 25.76"
"Market order: O06088, 12:24:57, SELL, 300"
"Add limit order: O06089, 12:24:58, SELL, 700, $ 37.07"
"Cancel: O01397, 10:10:25, SELL, 300, $ 44.17"
"Add limit order: O06090, 12:25:00, BUY, 700, $ 28.53"
"Add limit order: O06091, 12:25:03, SELL, 500, $ 44.05"
"Add limit order: O06092, 12:25:05, SELL, 100, $ 42.35"
"Add limit order: O06093, 12:25:06, BUY, 400, $ 25.31"
"Add limit order: O06094, 12:25:08, BUY, 300, $ 26.78"
"Add limit order: O06095, 12:25:11, SELL, 500, $ 38.5"
"Market order: O06096, 12:25:14, SELL, 500"
"Add limit order: O06097, 12:25:15, BUY, 100, $ 25.93"
"Add limit order: O06098, 12:25:17, SELL, 400, $ 43.87"
"Market order: O06099, 12:25:19, BUY, 600"
"Add limit order: O06100, 12:25:23, BUY, 100, $ 31.72"
"Market order: O06101, 12:25:25, BUY, 600"
"Add limit order: O06102, 12:25:27, SELL, 800, $ 38.11"
"Add limit order: O06103, 12:25:28, BUY, 200, $ 32.75"
"Add limit order: O06104, 12:25:29, BUY, 100, $ 25.92"
"Add limit order: O06105, 12:25:30, BUY, 700, $ 25.42"
"Add limit order: O06106, 12:25:33, BUY, 100, $ 30.25"
"Add limit order: O06107, 12:25:34, BUY, 200, $ 25.12"
"Market order: O06108, 12:25:36, BUY, 900"
"Add limit order: O06109, 12:25:37, BUY, 100, $ 25.78"
"Market order: O06110, 12:25:39, BUY, 300"
"Market order: O06111, 12:25:40, SELL, 800"
"Add limit order: O06112, 12:25:42, SELL, 600, $ 40.57"
"Add limit order: O06113, 12:25:43, SELL, 200, $ 37.36"
"Add limit order: O06114, 12:25:46, BUY, 100, $ 32.22"
"Add limit order: O06115, 12:25:48, BUY, 500, $ 28.01"
"Add limit order: O06116, 12:25:49, SELL, 200, $ 37.9"
"Add limit order: O06117, 12:25:53, SELL, 500, $ 41.51"
"Add limit order: O06118, 12:25:54, SELL, 500, $ 44.55"
"Add limit order: O06119, 12:25:55, SELL, 400, $ 43.59"
"Market order: O06120, 12:25:56, SELL, 400"
"Market order: O06121, 12:26:00, BUY, 700"
"Add limit order: O06122, 12:26:01, SELL, 100, $ 37.99"
"Market order: O06123, 12:26:06, BUY, 400"
"Market order: O06124, 12:26:07, SELL, 900"
"Add limit order: O06125, 12:26:08, SELL, 500, $ 36.96"
"Add limit order: O06126, 12:26:09, BUY, 900, $ 32.54"
"Market order: O06127, 12:26:12, SELL, 300"
"Add limit order: O06128, 12:26:13, BUY, 300, $ 29.32"
"Market order: O06129, 12:26:16, SELL, 200"
"Add limit order: O06130, 12:26:18, BUY, 700, $ 30.37"
"Cancel: O05378, 12:04:33, SELL, 200, $ 44.5"
"Add limit order: O06131, 12:26:25, SELL, 300, $ 35.93"
"Add limit order: O06132, 12:26:26, BUY, 100, $ 26.57"
"Add limit order: O06133, 12:26:29, BUY, 500, $ 29.38"
"Market order: O06134, 12:26:31, BUY, 100"
"Cancel: O00473, 09:44:10, BUY, 900, $ 26.49"
"Market order: O06135, 12:26:34, BUY, 600"
"Add limit order: O06136, 12:26:35, BUY, 800, $ 32.99"
"Market order: O06137, 12:26:36, SELL, 200"
"Market order: O06138, 12:26:37, SELL, 200"
"Add limit order: O06139, 12:26:38, BUY, 300, $ 31.59"
"Add limit order: O06140, 12:26:40, BUY, 600, $ 28.57"
"Add limit order: O06141, 12:26:41, SELL, 100, $ 44.43"
"Add limit order: O06142, 12:26:46, SELL, 200, $ 36.8"
"Add limit order: O06143, 12:26:47, SELL, 100, $ 36.11"
"Market order: O06144, 12:26:49, SELL, 600"
"Market order: O06145, 12:26:50, SELL, 100"
"Market order: O06146, 12:26:52, SELL, 100"
"Add limit order: O06147, 12:26:53, SELL, 100, $ 35.65"
"Market order: O06148, 12:26:54, BUY, 700"
"Add limit order: O06149, 12:26:57, BUY, 500, $ 34.02"
"Add limit order: O06150, 12:26:58, BUY, 200, $ 29.38"
"Cancel: O05896, 12:19:34, BUY, 900, $ 25.07"
"Market order: O06151, 12:27:01, SELL, 100"
"Market order: O06152, 12:27:02, BUY, 600"
"Market order: O06153, 12:27:04, BUY, 400"
"Add limit order: O06154, 12:27:08, SELL, 200, $ 38.15"
"Add limit order: O06155, 12:27:09, SELL, 200, $ 42.85"
"Add limit order: O06156, 12:27:13, BUY, 900, $ 31.78"
"Add limit order: O06157, 12:27:15, SELL, 200, $ 44.4"
"Market order: O06158, 12:27:17, SELL, 100"
"Market order: O06159, 12:27:19, SELL, 200"
"Add limit order: O06160, 12:27:21, SELL, 700, $ 37.3"
"Market order: O06161, 12:27:23, SELL, 800"
"Add limit order: O06162, 12:27:25, BUY, 300, $ 32.84"
"Add limit order: O06163, 12:27:29, BUY, 100, $ 26.0"
"Add limit order: O06164, 12:27:30, BUY, 200, $ 28.02"
"Market order: O06165, 12:27:32, BUY, 300"
"Market order: O06166, 12:27:33, SELL, 700"
"Add limit order: O06167, 12:27:36, BUY, 600, $ 28.76"
"Add limit order: O06168, 12:27:37, SELL, 200, $ 42.61"
"Add limit order: O06169, 12:27:38, SELL, 200, $ 35.5"
"Add limit order: O06170, 12:27:39, SELL, 700, $ 40.9"
"Market order: O06171, 12:27:41, SELL, 400"
"Add limit order: O06172, 12:27:42, BUY, 100, $ 31.72"
"Market order: O06173, 12:27:43, BUY, 200"
"Market order: O06174, 12:27:44, BUY, 100"
"Add limit order: O06175, 12:27:45, SELL, 700, $ 36.02"
"Market order: O06176, 12:27:46, BUY, 200"
"Add limit order: O06177, 12:27:48, SELL, 100, $ 42.24"
"Market order: O06178, 12:27:52, BUY, 400"
"Market order: O06179, 12:27:56, BUY, 800"
"Market order: O06180, 12:27:59, SELL, 600"
"Add limit order: O06181, 12:28:00, SELL, 800, $ 40.22"
"Market order: O06182, 12:28:01, BUY, 900"
"Add limit order: O06183, 12:28:02, BUY, 300, $ 29.77"
"Add limit order: O06184, 12:28:03, SELL, 500, $ 35.64"
"Add limit order: O06185, 12:28:04, BUY, 300, $ 31.42"
"Market order: O06186, 12:28:07, SELL, 500"
"Add limit order: O06187, 12:28:08, BUY, 300, $ 30.04"
"Cancel: O03786, 11:18:44, BUY, 400, $ 25.26"
"Market order: O06188, 12:28:11, SELL, 100"
"Market order: O06189, 12:28:16, BUY, 100"
"Market order: O06190, 12:28:17, SELL, 100"
"Add limit order: O06191, 12:28:19, SELL, 200, $ 38.4"
"Market order: O06192, 12:28:20, SELL, 300"
"Add limit order: O06193, 12:28:21, SELL, 500, $ 40.28"
"Market order: O06194, 12:28:22, SELL, 400"
"Add limit order: O06195, 12:28:23, SELL, 100, $ 41.05"
"Market order: O06196, 12:28:25, SELL, 500"
"Market order: O06197, 12:28:26, BUY, 100"
"Market order: O06198, 12:28:27, SELL, 500"
"Market order: O06199, 12:28:29, SELL, 100"
"Add limit order: O06200, 12:28:34, SELL, 200, $ 44.95"
"Market order: O06201, 12:28:36, BUY, 300"
"Market order: O06202, 12:28:37, SELL, 200"
"Add limit order: O06203, 12:28:40, BUY, 600, $ 28.91"
"Add limit order: O06204, 12:28:43, BUY, 900, $ 33.41"
"Cancel: O05406, 12:05:33, SELL, 900, $ 43.88"
"Add limit order: O06205, 12:28:50, SELL, 300, $ 38.15"
"Market order: O06206, 12:28:51, BUY, 300"
"Market order: O06207, 12:28:52, BUY, 900"
"Market order: O06208, 12:28:53, BUY, 900"
"Market order: O06209, 12:28:55, SELL, 500"
"Add limit order: O06210, 12:28:56, SELL, 100, $ 44.2"
"Market order: O06211, 12:28:57, SELL, 300"
"Add limit order: O06212, 12:28:58, SELL, 200, $ 44.18"
"Market order: O06213, 12:28:59, BUY, 400"
"Market order: O06214, 12:29:02, BUY, 700"
"Market order: O06215, 12:29:05, SELL, 300"
"Add limit order: O06216, 12:29:07, BUY, 500, $ 31.1"
"Market order: O06217, 12:29:08, BUY, 300"
"Market order: O06218, 12:29:09, SELL, 300"
"Add limit order: O06219, 12:29:12, SELL, 500, $ 42.65"
"Add limit order: O06220, 12:29:14, SELL, 400, $ 39.78"
"Add limit order: O06221, 12:29:15, SELL, 400, $ 35.96"
"Market order: O06222, 12:29:16, BUY, 200"
"Add limit order: O06223, 12:29:17, BUY, 900, $ 29.92"
"Add limit order: O06224, 12:29:18, SELL, 100, $ 42.87"
"Market order: O06225, 12:29:21, SELL, 600"
"Add limit order: O06226, 12:29:22, BUY, 600, $ 27.29"
"Market order: O06227, 12:29:25, SELL, 700"
"Add limit order: O06228, 12:29:27, SELL, 900, $ 43.77"
"Add limit order: O06229, 12:29:31, SELL, 100, $ 39.67"
"Add limit order: O06230, 12:29:34, SELL, 400, $ 43.54"
"Add limit order: O06231, 12:29:35, BUY, 200, $ 34.88"
"Add limit order: O06232, 12:29:37, BUY, 100, $ 30.59"
"Market order: O06233, 12:29:38, SELL, 800"
"Market order: O06234, 12:29:39, BUY, 200"
"Add limit order: O06235, 12:29:40, SELL, 400, $ 39.1"
"Add limit order: O06236, 12:29:41, SELL, 500, $ 41.68"
"Market order: O06237, 12:29:42, BUY, 100"
"Add limit order: O06238, 12:29:43, BUY, 200, $ 27.17"
"Add limit order: O06239, 12:29:44, BUY, 400, $ 29.44"
"Add limit order: O06240, 12:29:46, BUY, 600, $ 31.74"
"Market order: O06241, 12:29:47, SELL, 800"
"Add limit order: O06242, 12:29:48, SELL, 400, $ 42.75"
"Market order: O06243, 12:29:51, BUY, 100"
"Add limit order: O06244, 12:29:52, SELL, 200, $ 43.82"
"Market order: O06245, 12:29:53, SELL, 200"
"Market order: O06246, 12:29:54, SELL, 200"
"Add limit order: O06247, 12:29:57, SELL, 600, $ 36.98"
"Market order: O06248, 12:29:58, SELL, 300"
"Add limit order: O06249, 12:30:00, BUY, 100, $ 30.77"
"Add limit order: O06250, 12:30:03, BUY, 400, $ 28.06"
"Add limit order: O06251, 12:30:05, SELL, 300, $ 39.01"
"Market order: O06252, 12:30:07, BUY, 900"
"Add limit order: O06253, 12:30:08, SELL, 400, $ 41.51"
"Add limit order: O06254, 12:30:10, BUY, 100, $ 28.49"
"Add limit order: O06255, 12:30:12, BUY, 600, $ 29.84"
"Add limit order: O06256, 12:30:13, BUY, 200, $ 34.09"
"Market order: O06257, 12:30:15, BUY, 100"
"Market order: O06258, 12:30:18, BUY, 300"
"Add limit order: O06259, 12:30:20, SELL, 200, $ 39.92"
"Add limit order: O06260, 12:30:21, SELL, 700, $ 42.46"
"Market order: O06261, 12:30:22, BUY, 100"
"Cancel: O02317, 10:36:47, SELL, 400, $ 43.8"
"Add limit order: O06262, 12:30:26, SELL, 300, $ 43.9"
"Market order: O06263, 12:30:27, BUY, 200"
"Market order: O06264, 12:30:28, BUY, 300"
"Market order: O06265, 12:30:29, SELL, 300"
"Market order: O06266, 12:30:30, SELL, 200"
"Market order: O06267, 12:30:31, BUY, 300"
"Add limit order: O06268, 12:30:32, BUY, 600, $ 27.8"
"Add limit order: O06269, 12:30:34, BUY, 100, $ 34.44"
"Add limit order: O06270, 12:30:36, BUY, 600, $ 32.0"
"Add limit order: O06271, 12:30:38, SELL, 200, $ 38.73"
"Add limit order: O06272, 12:30:41, BUY, 600, $ 26.73"
"Market order: O06273, 12:30:42, SELL, 200"
"Market order: O06274, 12:30:43, SELL, 700"
"Add limit order: O06275, 12:30:44, SELL, 600, $ 35.59"
"Market order: O06276, 12:30:45, BUY, 200"
"Market order: O06277, 12:30:46, SELL, 700"
"Market order: O06278, 12:30:47, SELL, 800"
"Market order: O06279, 12:30:49, SELL, 500"
"Market order: O06280, 12:30:51, BUY, 300"
"Add limit order: O06281, 12:30:52, BUY, 500, $ 28.54"
"Market order: O06282, 12:30:54, BUY, 500"
"Market order: O06283, 12:30:55, SELL, 100"
"Add limit order: O06284, 12:30:56, SELL, 700, $ 40.5"
"Add limit order: O06285, 12:30:59, SELL, 100, $ 36.34"
"Market order: O06286, 12:31:06, BUY, 600"
"Add limit order: O06287, 12:31:07, BUY, 600, $ 34.11"
"Add limit order: O06288, 12:31:08, BUY, 200, $ 33.68"
"Add limit order: O06289, 12:31:10, SELL, 300, $ 40.99"
"Market order: O06290, 12:31:13, SELL, 100"
"Add limit order: O06291, 12:31:14, SELL, 300, $ 40.24"
"Market order: O06292, 12:31:22, SELL, 500"
"Add limit order: O06293, 12:31:23, BUY, 600, $ 30.2"
"Add limit order: O06294, 12:31:26, SELL, 300, $ 41.18"
"Add limit order: O06295, 12:31:27, BUY, 100, $ 30.77"
"Cancel: O00933, 09:57:11, SELL, 900, $ 43.28"
"Market order: O06296, 12:31:30, BUY, 100"
"Market order: O06297, 12:31:32, BUY, 700"
"Market order: O06298, 12:31:33, BUY, 600"
"Add limit order: O06299, 12:31:34, BUY, 600, $ 27.69"
"Add limit order: O06300, 12:31:37, BUY, 600, $ 26.79"
"Market order: O06301, 12:31:40, BUY, 600"
"Add limit order: O06302, 12:31:41, SELL, 400, $ 41.65"
"Market order: O06303, 12:31:42, BUY, 700"
"Market order: O06304, 12:31:43, BUY, 200"
"Market order: O06305, 12:31:44, BUY, 300"
"Add limit order: O06306, 12:31:46, BUY, 200, $ 34.27"
"Add limit order: O06307, 12:31:49, SELL, 200, $ 37.85"
"Market order: O06308, 12:31:50, BUY, 400"
"Add limit order: O06309, 12:31:52, BUY, 100, $ 32.74"
"Cancel: O00018, 09:30:36, BUY, 600, $ 25.82"
"Market order: O06310, 12:31:55, BUY, 400"
"Add limit order: O06311, 12:31:58, BUY, 100, $ 25.91"
"Add limit order: O06312, 12:32:00, SELL, 100, $ 39.99"
"Add limit order: O06313, 12:32:01, BUY, 500, $ 33.33"
"Add limit order: O06314, 12:32:03, BUY, 400, $ 31.95"
"Market order: O06315, 12:32:05, BUY, 500"
"Add limit order: O06316, 12:32:08, BUY, 900, $ 30.44"
"Cancel: O05707, 12:14:03, SELL, 200, $ 44.94"
"Add limit order: O06317, 12:32:12, BUY, 100, $ 27.61"
"Market order: O06318, 12:32:13, BUY, 200"
"Add limit order: O06319, 12:32:14, SELL, 500, $ 41.97"
"Add limit order: O06320, 12:32:15, BUY, 200, $ 26.35"
"Market order: O06321, 12:32:16, SELL, 200"
"Add limit order: O06322, 12:32:17, SELL, 400, $ 36.0"
"Add limit order: O06323, 12:32:18, SELL, 500, $ 42.85"
"Add limit order: O06324, 12:32:19, SELL, 300, $ 40.46"
"Market order: O06325, 12:32:20, BUY, 500"
"Market order: O06326, 12:32:22, BUY, 400"
"Add limit order: O06327, 12:32:28, BUY, 300, $ 33.02"
"Market order: O06328, 12:32:29, BUY, 900"
"Add limit order: O06329, 12:32:30, SELL, 900, $ 36.84"
"Market order: O06330, 12:32:31, SELL, 100"
"Add limit order: O06331, 12:32:33, BUY, 300, $ 30.79"
"Cancel: O02483, 10:41:54, SELL, 600, $ 43.57"
"Add limit order: O06332, 12:32:37, SELL, 600, $ 42.45"
"Add limit order: O06333, 12:32:38, SELL, 200, $ 42.94"
"Add limit order: O06334, 12:32:39, SELL, 100, $ 36.52"
"Cancel: O01570, 10:15:17, BUY, 900, $ 27.25"
"Market order: O06335, 12:32:43, SELL, 100"
"Market order: O06336, 12:32:44, SELL, 600"
"Market order: O06337, 12:32:45, BUY, 100"
"Market order: O06338, 12:32:46, BUY, 800"
"Market order: O06339, 12:32:48, SELL, 400"
"Market order: O06340, 12:32:49, SELL, 200"
"Market order: O06341, 12:32:51, SELL, 100"
"Add limit order: O06342, 12:32:52, SELL, 400, $ 44.96"
"Add limit order: O06343, 12:32:55, BUY, 400, $ 33.47"
"Add limit order: O06344, 12:32:56, SELL, 500, $ 39.33"
"Market order: O06345, 12:32:58, SELL, 800"
"Add limit order: O06346, 12:33:00, BUY, 500, $ 32.93"
"Add limit order: O06347, 12:33:02, SELL, 200, $ 41.15"
"Market order: O06348, 12:33:03, SELL, 400"
"Add limit order: O06349, 12:33:05, SELL, 500, $ 38.72"
"Market order: O06350, 12:33:07, BUY, 700"
"Market order: O06351, 12:33:08, SELL, 100"
"Add limit order: O06352, 12:33:10, BUY, 200, $ 32.36"
"Market order: O06353, 12:33:11, SELL, 300"
"Market order: O06354, 12:33:13, BUY, 600"
"Market order: O06355, 12:33:14, BUY, 600"
"Market order: O06356, 12:33:16, BUY, 300"
"Market order: O06357, 12:33:17, BUY, 300"
"Add limit order: O06358, 12:33:18, SELL, 300, $ 37.39"
"Market order: O06359, 12:33:19, SELL, 200"
"Market order: O06360, 12:33:20, BUY, 200"
"Add limit order: O06361, 12:33:23, SELL, 300, $ 40.23"
"Add limit order: O06362, 12:33:27, BUY, 100, $ 26.76"
"Add limit order: O06363, 12:33:28, BUY, 600, $ 27.94"
"Market order: O06364, 12:33:29, SELL, 200"
"Market order: O06365, 12:33:31, SELL, 200"
"Add limit order: O06366, 12:33:34, BUY, 300, $ 29.52"
"Market order: O06367, 12:33:35, BUY, 500"
"Add limit order: O06368, 12:33:36, BUY, 100, $ 27.62"
"Add limit order: O06369, 12:33:37, SELL, 700, $ 36.32"
"Market order: O06370, 12:33:38, BUY, 500"
"Market order: O06371, 12:33:39, BUY, 100"
"Add limit order: O06372, 12:33:41, SELL, 700, $ 41.7"
"Market order: O06373, 12:33:44, BUY, 200"
"Add limit order: O06374, 12:33:45, SELL, 500, $ 36.48"
"Add limit order: O06375, 12:33:51, SELL, 100, $ 41.05"
"Add limit order: O06376, 12:33:53, BUY, 600, $ 29.39"
"Add limit order: O06377, 12:33:54, BUY, 200, $ 34.4"
"Add limit order: O06378, 12:33:55, SELL, 900, $ 37.12"
"Market order: O06379, 12:33:56, SELL, 300"
"Add limit order: O06380, 12:33:58, BUY, 300, $ 33.64"
"Market order: O06381, 12:33:59, BUY, 900"
"Add limit order: O06382, 12:34:01, BUY, 400, $ 29.71"
"Add limit order: O06383, 12:34:02, SELL, 300, $ 37.21"
"Add limit order: O06384, 12:34:04, BUY, 600, $ 31.72"
"Add limit order: O06385, 12:34:07, SELL, 100, $ 42.67"
"Add limit order: O06386, 12:34:08, BUY, 100, $ 27.39"
"Add limit order: O06387, 12:34:09, SELL, 600, $ 38.48"
"Market order: O06388, 12:34:11, SELL, 400"
"Add limit order: O06389, 12:34:12, SELL, 400, $ 43.47"
"Add limit order: O06390, 12:34:13, SELL, 900, $ 35.83"
"Market order: O06391, 12:34:15, SELL, 200"
"Market order: O06392, 12:34:17, BUY, 200"
"Add limit order: O06393, 12:34:20, SELL, 700, $ 36.76"
"Add limit order: O06394, 12:34:21, BUY, 700, $ 30.26"
"Add limit order: O06395, 12:34:22, BUY, 200, $ 27.06"
"Market order: O06396, 12:34:23, BUY, 600"
"Add limit order: O06397, 12:34:24, SELL, 200, $ 35.65"
"Add limit order: O06398, 12:34:29, BUY, 500, $ 31.3"
"Market order: O06399, 12:34:31, SELL, 400"
"Add limit order: O06400, 12:34:35, SELL, 100, $ 39.42"
"Market order: O06401, 12:34:36, SELL, 200"
"Market order: O06402, 12:34:37, SELL, 400"
"Market order: O06403, 12:34:38, BUY, 700"
"Market order: O06404, 12:34:39, SELL, 100"
"Market order: O06405, 12:34:40, SELL, 200"
"Add limit order: O06406, 12:34:41, BUY, 100, $ 33.74"
"Add limit order: O06407, 12:34:42, BUY, 400, $ 31.86"
"Add limit order: O06408, 12:34:43, SELL, 400, $ 39.88"
"Market order: O06409, 12:34:44, BUY, 700"
"Add limit order: O06410, 12:34:45, SELL, 400, $ 40.09"
"Add limit order: O06411, 12:34:46, BUY, 100, $ 25.87"
"Market order: O06412, 12:34:50, BUY, 500"
"Market order: O06413, 12:34:53, SELL, 100"
"Market order: O06414, 12:34:54, BUY, 400"
"Add limit order: O06415, 12:34:55, BUY, 900, $ 34.06"
"Add limit order: O06416, 12:34:56, SELL, 100, $ 41.09"
"Market order: O06417, 12:35:01, BUY, 500"
"Add limit order: O06418, 12:35:03, BUY, 700, $ 34.61"
"Add limit order: O06419, 12:35:05, BUY, 300, $ 30.99"
"Add limit order: O06420, 12:35:06, BUY, 200, $ 27.28"
"Add limit order: O06421, 12:35:09, BUY, 600, $ 25.83"
"Market order: O06422, 12:35:10, SELL, 400"
"Add limit order: O06423, 12:35:11, SELL, 100, $ 42.69"
"Market order: O06424, 12:35:14, SELL, 300"
"Market order: O06425, 12:35:16, BUY, 300"
"Market order: O06426, 12:35:17, SELL, 900"
"Add limit order: O06427, 12:35:19, SELL, 800, $ 44.03"
"Add limit order: O06428, 12:35:20, SELL, 100, $ 39.38"
"Add limit order: O06429, 12:35:21, SELL, 100, $ 42.12"
"Add limit order: O06430, 12:35:22, SELL, 400, $ 40.67"
"Add limit order: O06431, 12:35:24, SELL, 200, $ 44.02"
"Add limit order: O06432, 12:35:25, SELL, 400, $ 35.41"
"Cancel: O05871, 12:18:48, SELL, 300, $ 44.71"
"Market order: O06433, 12:35:30, SELL, 400"
"Cancel: O00882, 09:55:36, BUY, 300, $ 25.73"
"Market order: O06434, 12:35:34, BUY, 900"
"Market order: O06435, 12:35:35, BUY, 300"
"Market order: O06436, 12:35:36, SELL, 200"
"Add limit order: O06437, 12:35:38, BUY, 600, $ 28.08"
"Add limit order: O06438, 12:35:39, SELL, 900, $ 35.17"
"Market order: O06439, 12:35:41, BUY, 500"
"Add limit order: O06440, 12:35:43, BUY, 700, $ 32.02"
"Add limit order: O06441, 12:35:44, BUY, 600, $ 33.11"
"Add limit order: O06442, 12:35:46, SELL, 300, $ 39.9"
"Add limit order: O06443, 12:35:47, BUY, 800, $ 27.24"
"Add limit order: O06444, 12:35:49, BUY, 200, $ 25.46"
"Add limit order: O06445, 12:35:50, SELL, 400, $ 35.1"
"Market order: O06446, 12:35:51, BUY, 500"
"Market order: O06447, 12:35:53, SELL, 300"
"Add limit order: O06448, 12:35:54, SELL, 900, $ 43.23"
"Market order: O06449, 12:35:55, BUY, 400"
"Market order: O06450, 12:35:56, SELL, 900"
"Add limit order: O06451, 12:35:57, SELL, 500, $ 40.05"
"Add limit order: O06452, 12:35:58, SELL, 200, $ 38.65"
"Add limit order: O06453, 12:36:00, SELL, 200, $ 41.46"
"Add limit order: O06454, 12:36:01, BUY, 900, $ 33.98"
"Market order: O06455, 12:36:02, SELL, 600"
"Add limit order: O06456, 12:36:04, SELL, 700, $ 41.32"
"Add limit order: O06457, 12:36:05, SELL, 900, $ 42.4"
"Market order: O06458, 12:36:07, SELL, 200"
"Add limit order: O06459, 12:36:09, BUY, 100, $ 33.31"
"Add limit order: O06460, 12:36:10, BUY, 300, $ 29.46"
"Add limit order: O06461, 12:36:11, BUY, 300, $ 29.63"
"Market order: O06462, 12:36:12, BUY, 100"
"Add limit order: O06463, 12:36:13, SELL, 100, $ 39.4"
"Add limit order: O06464, 12:36:14, SELL, 100, $ 36.63"
"Market order: O06465, 12:36:15, BUY, 200"
"Add limit order: O06466, 12:36:16, BUY, 400, $ 28.22"
"Market order: O06467, 12:36:20, SELL, 800"
"Add limit order: O06468, 12:36:21, SELL, 200, $ 37.36"
"Add limit order: O06469, 12:36:24, SELL, 100, $ 44.66"
"Market order: O06470, 12:36:26, BUY, 600"
"Add limit order: O06471, 12:36:27, BUY, 300, $ 25.29"
"Add limit order: O06472, 12:36:28, BUY, 600, $ 26.25"
"Add limit order: O06473, 12:36:29, SELL, 600, $ 41.32"
"Add limit order: O06474, 12:36:30, SELL, 400, $ 43.92"
"Market order: O06475, 12:36:31, SELL, 100"
"Cancel: O01240, 10:06:04, BUY, 700, $ 25.47"
"Add limit order: O06476, 12:36:33, BUY, 400, $ 34.21"
"Market order: O06477, 12:36:35, BUY, 200"
"Add limit order: O06478, 12:36:38, BUY, 400, $ 25.63"
"Market order: O06479, 12:36:40, BUY, 200"
"Add limit order: O06480, 12:36:42, SELL, 200, $ 35.88"
"Add limit order: O06481, 12:36:43, SELL, 800, $ 39.38"
"Market order: O06482, 12:36:44, BUY, 700"
"Add limit order: O06483, 12:36:46, BUY, 400, $ 31.18"
"Add limit order: O06484, 12:36:47, SELL, 500, $ 37.08"
"Market order: O06485, 12:36:48, BUY, 800"
"Cancel: O03939, 11:23:19, BUY, 100, $ 26.59"
"Add limit order: O06486, 12:36:51, BUY, 500, $ 28.2"
"Add limit order: O06487, 12:36:52, SELL, 500, $ 42.33"
"Add limit order: O06488, 12:36:53, SELL, 400, $ 39.97"
"Market order: O06489, 12:36:56, BUY, 500"
"Add limit order: O06490, 12:36:58, SELL, 800, $ 35.5"
"Market order: O06491, 12:36:59, BUY, 300"
"Add limit order: O06492, 12:37:00, BUY, 100, $ 34.79"
"Add limit order: O06493, 12:37:03, SELL, 500, $ 38.34"
"Market order: O06494, 12:37:07, BUY, 300"
"Market order: O06495, 12:37:08, SELL, 500"
"Market order: O06496, 12:37:09, BUY, 700"
"Cancel: O01392, 10:10:17, SELL, 100, $ 44.96"
"Market order: O06497, 12:37:13, BUY, 600"
"Add limit order: O06498, 12:37:15, BUY, 300, $ 31.09"
"Add limit order: O06499, 12:37:17, BUY, 500, $ 25.28"
"Market order: O06500, 12:37:21, BUY, 200"
"Market order: O06501, 12:37:22, BUY, 400"
"Add limit order: O06502, 12:37:24, SELL, 200, $ 36.83"
"Market order: O06503, 12:37:28, SELL, 300"
"Market order: O06504, 12:37:29, BUY, 100"
"Market order: O06505, 12:37:30, BUY, 400"
"Add limit order: O06506, 12:37:31, BUY, 400, $ 30.49"
"Add limit order: O06507, 12:37:34, BUY, 700, $ 31.57"
"Add limit order: O06508, 12:37:36, BUY, 100, $ 32.02"
"Add limit order: O06509, 12:37:37, BUY, 300, $ 34.51"
"Market order: O06510, 12:37:38, BUY, 300"
"Add limit order: O06511, 12:37:40, SELL, 100, $ 44.45"
"Market order: O06512, 12:37:41, SELL, 600"
"Cancel: O06105, 12:25:30, BUY, 700, $ 25.42"
"Market order: O06513, 12:37:43, SELL, 500"
"Market order: O06514, 12:37:44, SELL, 100"
"Market order: O06515, 12:37:46, BUY, 100"
"Add limit order: O06516, 12:37:47, BUY, 100, $ 33.53"
"Add limit order: O06517, 12:37:48, SELL, 300, $ 36.72"
"Cancel: O02731, 10:48:39, BUY, 500, $ 25.39"
"Market order: O06518, 12:37:52, SELL, 600"
"Add limit order: O06519, 12:37:54, SELL, 900, $ 41.46"
"Market order: O06520, 12:37:55, SELL, 100"
"Market order: O06521, 12:37:56, BUY, 200"
"Add limit order: O06522, 12:37:57, BUY, 300, $ 28.68"
"Add limit order: O06523, 12:37:59, BUY, 100, $ 30.74"
"Add limit order: O06524, 12:38:00, SELL, 200, $ 36.36"
"Add limit order: O06525, 12:38:01, SELL, 100, $ 35.73"
"Market order: O06526, 12:38:02, SELL, 900"
"Add limit order: O06527, 12:38:04, BUY, 300, $ 26.68"
"Add limit order: O06528, 12:38:05, SELL, 300, $ 38.85"
"Add limit order: O06529, 12:38:07, SELL, 300, $ 44.85"
